ADM0_FR,ADM0_EN,ADM0_PCODE,ADM1_FR,ADM1_PCODE,ADM2_FR,ADM2_PCODE,Female,Male,Total,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80plus
Sénégal,Senegal,SN,Matam,SN09,Ranerou,SN0903,31189 ,32292 ,63482 ,12620 ,11935 ,7720 ,5940 ,5022 ,4388 ,3732 ,2504 ,2690 ,1613 ,1708 ,856 ,1032 ,512 ,547 ,291 ,374 
Sénégal,Senegal,SN,Saint-Louis,SN10,Dagana,SN1001,144648 ,154354 ,299001 ,42691 ,45436 ,38023 ,32527 ,27204 ,23273 ,19126 ,15248 ,13063 ,10347 ,9982 ,7294 ,5704 ,3157 ,2598 ,1504 ,1822 
Sénégal,Senegal,SN,Saint-Louis,SN10,Podor,SN1002,234774 ,223894 ,458664 ,77023 ,77238 ,60810 ,49847 ,37567 ,29552 ,24748 ,19849 ,18133 ,13788 ,13238 ,9391 ,9045 ,5520 ,5081 ,3233 ,4603 
Sénégal,Senegal,SN,Saint-Louis,SN10,Saint Louis,SN1003,184236 ,182553 ,366789 ,46425 ,49420 ,44988 ,40293 ,37773 ,30067 ,23791 ,19755 ,16414 ,13529 ,13046 ,9434 ,8085 ,4532 ,3809 ,2426 ,3003 
Sénégal,Senegal,SN,Sedhiou,SN11,Bounkiling,SN1101,88355 ,91734 ,180087 ,31066 ,32690 ,25019 ,19314 ,13495 ,12960 ,10167 ,7561 ,7069 ,5045 ,4702 ,3041 ,3097 ,1526 ,1654 ,662 ,1016 
Sénégal,Senegal,SN,Sedhiou,SN11,Goudomp,SN1102,96189 ,96914 ,193106 ,31568 ,35595 ,28745 ,21875 ,13359 ,12511 ,9209 ,7382 ,7770 ,6478 ,5616 ,3828 ,3545 ,2120 ,1767 ,783 ,957 
Sénégal,Senegal,SN,Sedhiou,SN11,Sedhiou,SN1103,91983 ,95228 ,187206 ,29552 ,32571 ,27340 ,21783 ,13848 ,12361 ,9530 ,7265 ,7817 ,6052 ,5325 ,3881 ,3847 ,2197 ,1853 ,870 ,1113 
Sénégal,Senegal,SN,Tambacounda,SN12,Bakel,SN1201,84848 ,86945 ,171792 ,26639 ,27266 ,22531 ,18923 ,15818 ,13285 ,10071 ,7945 ,6559 ,5227 ,4642 ,3337 ,3001 ,2007 ,1836 ,1291 ,1419 
Sénégal,Senegal,SN,Tambacounda,SN12,Goudiry,SN1202,71312 ,70767 ,142081 ,26274 ,25192 ,18770 ,14685 ,12479 ,10575 ,7716 ,5958 ,5219 ,3559 ,3623 ,2247 ,2168 ,1234 ,1153 ,518 ,706 
Sénégal,Senegal,SN,Tambacounda,SN12,Koupentoum,SN1203,77253 ,81632 ,158886 ,29132 ,28526 ,20745 ,16276 ,13156 ,11380 ,9169 ,6799 ,5898 ,4356 ,4230 ,2671 ,2507 ,1309 ,1383 ,590 ,759 
Sénégal,Senegal,SN,Tambacounda,SN12,Tambacounda,SN1204,183288 ,186810 ,370097 ,62271 ,61007 ,47611 ,39799 ,32451 ,27570 ,21768 ,18338 ,14719 ,11380 ,10236 ,7290 ,6309 ,3399 ,2907 ,1338 ,1700 
Sénégal,Senegal,SN,Thies,SN13,M’Bour,SN1301,408247 ,419217 ,827462 ,118543 ,124165 ,110402 ,86948 ,72158 ,63653 ,54124 ,43763 ,34992 ,27367 ,26318 ,19509 ,15783 ,9655 ,8603 ,4803 ,6675 
Sénégal,Senegal,SN,Thies,SN13,Thies,SN1302,416154 ,409989 ,826145 ,111763 ,113973 ,102196 ,89281 ,76500 ,66715 ,55581 ,43780 ,35547 ,29233 ,27822 ,22028 ,18435 ,10503 ,9466 ,5799 ,7522 
Sénégal,Senegal,SN,Thies,SN13,Tivaouane,SN1303,279451 ,279938 ,559390 ,84076 ,85068 ,69854 ,60086 ,48066 ,41931 ,34747 ,28333 ,23450 ,17150 ,17941 ,13094 ,12122 ,6740 ,7295 ,3663 ,5768 
Sénégal,Senegal,SN,Ziguinchor,SN14,Bignona,SN1401,150528 ,161911 ,312440 ,43401 ,44697 ,44805 ,39525 ,25536 ,19200 ,17124 ,14554 ,12279 ,10760 ,9325 ,8096 ,6672 ,5145 ,4462 ,3051 ,3797 
Sénégal,Senegal,SN,Ziguinchor,SN14,Oussouye,SN1402,28926 ,30864 ,59790 ,7233 ,7607 ,8220 ,6549 ,4740 ,4219 ,4094 ,3715 ,2817 ,2286 ,2077 ,1640 ,1306 ,1014 ,924 ,711 ,638 
Sénégal,Senegal,SN,Ziguinchor,SN14,Ziguinchor,SN1403,151271 ,155854 ,307123 ,37922 ,38110 ,38282 ,38372 ,32700 ,26447 ,19716 ,16142 ,13338 ,11085 ,9573 ,7629 ,6261 ,4347 ,3227 ,1905 ,2070 
